イベント名,開催日,会場,参加者数
JavaScriptで学ぶ プログラミング入門丸一日コース 8月5日 @connpass,2018-08-05,武蔵野公会堂（東京都武蔵野市吉祥寺駅徒歩数分。前日正午までに詳細をご連絡いたします。万が一連絡が届かない場合はお尋ねください）,3
Python3ではじめるシステムトレード入門　第16回連続セミナー　初心者大歓迎　午前の部,2018-08-05,金融財務研究会セミナールーム,0
機械学習を始めるためのPythonライブラリ基礎（行列計算、データフレーム処理）,2018-08-05,スキルアップビデオテクノロジーズ,5
『退屈なことはPythonにやらせよう』読書会 #15,2018-08-05,蕨市民会館（303会議室）,0
G's Python Guild LT会,2018-08-04, G's ACADEMY TOKYO BASE,28
機械学習 ナイーブベイズ ～プログラムなしではじめる入門講座～,2018-08-04,WakaLabo新宿,0
さらに70席に増枠！みんなのAIキャリアカレッジ in 関西#1【人工知能開発を本職にしたい！】,2018-08-04,AP大阪梅田茶屋町　Gルーム,58
【初・中級者向け】Python+Janome+gensim で学ぶ自然言語処理入門 #11,2018-08-04,水道橋駅周辺,1
機械学習を始めるためのPythonプログラミング入門,2018-08-04,スキルアップ・ビデオテクノロジーズ株式会社 分館,4
『Python言語によるプログラミング・イントロダクション 第2版』読書会 #22,2018-08-04,蕨市民会館（303会議室）,2
#pycamp山形事前ミーティング(オンライン),2018-08-03,,3
【サポーターズ勉強会】FaceVTuberの開発者が見たバーチャルYoutuberの世界,2018-08-03,渋谷スクエアA 11F,0
【会社帰りにもくもく晩御飯付き＠恵比寿】1～9Fまで全部自社！オフィス見に来ませんか？,2018-08-03,株式会社ネクストビート,29
帰り道もくもく会＋ＩＴエンジニアとお話し会　#2,2018-08-03,きゅりあん （品川区立総合区民会館）４F　第２グループ活動室,13
リモートで勉強会#1 - テーマ何でもLT会-,2018-08-03,各自の自宅,10
夜活Python ライブラリ編（Numpy Pandas：前編） in 池袋,2018-08-02,池袋サンシャインシティ tully's coffee  アルパ店,3
博多で開催！データから価値を見つけ出す！データサイエンティストスタートダッシュセミナー,2018-08-02,コワーキングスペース＆シェアオフィス　H（エイチ）,16
【大阪】Sansan tech meetup #6 現場エンジニアとお寿司を食べて交流する会 編,2018-08-02,Sansan株式会社 関西支店,9
Reinforcement Learning Meetup #11,2018-08-02,株式会社SOU,11
ゼロからまなぶ統計学１　初心者大歓迎,2018-08-02,金融財務研究会セミナールーム,0
【大阪・梅田】WEB系言語もくもく会,2018-08-02,株式会社スポーツフィールド大阪オフィス,2
朝活Python ファイル操作編 in 秋葉原,2018-08-02,【秋葉原/浅草橋】秋葉原スクエア403号室,8
#pycamp京都事前ミーティング(オンライン),2018-08-01,,9
夜活Python 入門編 in 池袋,2018-08-01,池袋サンシャインシティ tully's coffee  アルパ店,2
[第11回] Django 2.0 で Webアプリケーション作る会,2018-08-01,アメリエフ株式会社,5
bmxug.tokyo PaaS相談会#2 : Laravel On IBM Cloud,2018-08-01,ブルックリン会議室(秋葉原),11
オトナのPythonスクレイピングもくもく会#2@未来会議室,2018-08-01,未来会議室,6
システムトレード　勉強会　初心者大歓迎,2018-08-01,金融財務研究会セミナールーム,18
【大阪・梅田】WEB系言語もくもく会,2018-08-01,株式会社スポーツフィールド大阪オフィス,4
【神田に移転！】Pythonアルゴリズム勉強会,2018-08-01,株式会社Smart Trade,12
朝活Python 入門編 in 秋葉原,2018-08-01,カフェ・ベローチェ 秋葉原駅前広場店,4
【サポーターズ勉強会】文書分類で自然言語処理に触れる,2018-07-31,渋谷スクエアA 11F,0
朝活Python みんなで機械学習（準備後編） in 秋葉原,2018-07-31,【秋葉原/浅草橋】秋葉原スクエア403号室,1
ちがさき de 初心者向けPython,2018-07-30,FG-Space,4
Pythonのもくもく会とボランティア　#9,2018-07-30,あいちベンチャーハウス,3
kubernetesもくもく会 in GEEKLAB.NAGANO,2018-07-30,ギークラボ長野,2
第5回 CoderDojo Nada(灘)(深江会場)【メンター募集】,2018-07-29,深江会場（ニルキューブ）,3
PyCPA第2回勉強会,2018-07-29,colieto～コリエット～,10
新潟版IoT縛りの勉強会! IoTLT新潟 Vol.6 @Prototype Cafe,2018-07-29,Prototype Cafe,25
第5回 CoderDojo Nada(灘)（深江会場）【忍者募集】,2018-07-29,深江会場（ニルキューブ）,6
ゼロからまなぶ統計学２　初心者大歓迎,2018-07-29,金融財務研究会セミナールーム,0
知りたいを解決！ゼロから始めるAI講座,2018-07-29,グリーン会議室,8
<台風のため中止>【中級】Pythonセミナー～numpy編～ 2018/7/29,2018-07-29,(株)HCI 本社工場 2F 会議室,14
第30回 Pythonもくもく会,2018-07-29,株式会社 SQUEEZE ,22
人工知能を使ったリアルタイム物体検出でIoTを実践するハンズオン,2018-07-29,江東区産業会館,2
『退屈なことはPythonにやらせよう』読書会 #14,2018-07-29,蕨市民会館（303会議室）,0
ゼロからまなぶ統計学１　初心者大歓迎,2018-07-29,金融財務研究会セミナールーム,0
機械学習を始めるためのpythonデータ分析実践（機械学習直前）開催,2018-07-29,スキルアップビデオテクノロジーズ,7
長野Python会 with NSEG,2018-07-28,ギークラボ長野,14
Chainer Beginner's Hands-on #03 @大阪,2018-07-28,パナソニック ワンダーラボ大阪,48
【機械学習】「仕事ではじめる機械学習」読書会,2018-07-28,合同会社ねこもり秋葉原オフィス,4
【台風のため中止】PythonでWebアプリを作ろう [女性対象/男女コーチ◎] 2018.07,2018-07-28,Co-Creation Labo,20
【台風のため延期】【第三回】初心者向けプログラミング勉強会,2018-07-28,いちご赤坂317ビル5階,10
Webエンジニアを目指す方へ クラステック無料相談会 7月28日,2018-07-28,株式会社メディアインキュベート オフィス,0
【中止】『Python言語によるプログラミング・イントロダクション 第2版』読書会 #22,2018-07-28,蕨市民会館（303会議室）,1
機械学習を始めるためのpythonライブラリ基礎（データ可視化）中止,2018-07-28,スキルアップビデオテクノロジーズ,8
朝活Python 入門編 in 池袋,2018-07-28,池袋サンシャインシティ tully's coffee  アルパ店,2
夜活Python ファイル操作編 in 池袋,2018-07-27,池袋サンシャインシティ tully's coffee  アルパ店,3
札幌で開催！データから価値を見つけ出す！データサイエンティストスタートダッシュセミナー,2018-07-27,ACU-A(アスティ45) 16F,10
"WEBエンジニア勉強会 #08 (東京都, 渋谷)",2018-07-27,アクアミーティングスペース渋谷,42
夜活Python 入門編 in 池袋,2018-07-26,池袋サンシャインシティ tully's coffee  アルパ店,2
エンジニア自習室＠銀座（テーマ自由、入退場自由、お菓子付き）,2018-07-26,株式会社ダイヤモンドファンタジー 2Fフリースペース,2
Railsもくもく会 @渋谷,2018-07-26,mofmof inc.,11
テクトモ#3 深層学習のはじめかたと活用事例,2018-07-26,株式会社クラウドワークス,26
広尾で開催！データから価値を見つけ出す！データサイエンティストスタートダッシュセミナー,2018-07-26,株式会社データフォーシーズ　5Fセミナールーム,9
大阪Pythonの会 #16,2018-07-26,株式会社SOU,9
【増席】ラズパイでオムロン環境センサを使ってみる (isaax勉強会#13),2018-07-26,オムロン 東京事業所,24
Python 勉強会,2018-07-26,fotome開発ラボ,4
【大阪・梅田】WEB系言語もくもく会,2018-07-26,株式会社スポーツフィールド大阪オフィス,3
朝活Python 簡単スクレイピング（後編） in 秋葉原,2018-07-26,【秋葉原/浅草橋】秋葉原スクエア403号室,7
【Pythonで機械学習】教師あり学習をやってみる【TTT.5】,2018-07-25,株式会社GIG,20
【新宿・平日20時】実務経験13年の現役エンジニアが教えるPython初級講座,2018-07-25,株式会社ラプロモ,7
【福岡】LINE Developer Meetup #41,2018-07-25,LINE Fukuoka株式会社 カフェスペース,71
名古屋で開催！データから価値を見つけ出す！データサイエンティストスタートダッシュセミナー,2018-07-25,fabbit栄,6
すごい広島271 with Python[16],2018-07-25,ShakeHands,7
Webエンジニアを目指す方へ クラステック無料相談会,2018-07-25,株式会社メディアインキュベート オフィス,0
#4 はじめてのIT勉強会 in 熊本(2018),2018-07-25,Bar ランバリオン,4
#4 はじめてのIT勉強会 in 仙台(2018),2018-07-25,enspace,19
[第10回] Django 2.0 で Webアプリケーション作る会,2018-07-25,アメリエフ株式会社,3
Pythonアルゴリズム勉強会,2018-07-25,株式会社Smart Trade,7
【平日夜】メイドさんがいる定時後のIT自習室 2018/07/25,2018-07-25,合同会社ねこもり秋葉原オフィス,6
朝活Python 入門編 in 秋葉原,2018-07-25,カフェ・ベローチェ 秋葉原駅前広場店,3
[秋葉原] PythonとKerasによるディープラーニング勉強会 「8章 9章」最終,2018-07-24,コワーキングスペース秋葉原 Weeyble（ウィーブル),4
(とらのあな採用説明会 7/24 火曜) オタク企業で働くエンジニアの魅力について IN 秋葉原,2018-07-24,虎ビル4F,10
プログラミング勉強部屋　7月24日（ほぼ毎週開催）,2018-07-24,Co-CreationLABO,9
Python / Django もくもく＆もぐもぐ会 @人形町. #3,2018-07-24,株式会社GIG,5
BPLL #23,2018-07-24,株式会社ビープラウド,3
朝活Python みんなで機械学習（準備前編） in 秋葉原,2018-07-24,【秋葉原/浅草橋】秋葉原スクエア403号室,0
#pycamp徳島事前ミーティング(オンライン),2018-07-23,,5
【サーバレス特集】WEB+DB PRESS Vol.105をみんなで読む会 #2,2018-07-23,フロイデ株式会社,2
Pythonのもくもく会とボランティア　#8,2018-07-23,あいちベンチャーハウス,4
「IoTハッキングの教科書」出版お祝いパーティ！（＆大和セキュリティ勉強会の懇親会）,2018-07-22,神戸デジタル・ラボ,15
【全4回】【初・中級者向け】TensorFlowで学ぶディープラーニング・CNNの理論と実装 #14,2018-07-22,水道橋駅周辺,3
TFUG Utsunomiya #13,2018-07-22,宇都宮大学 陽東キャンパス 9号棟（情報工学科棟）1F 9-108室（会議室）,11
仮想通貨取引ボット作り（もくもく会）,2018-07-22,コワーキングスペース秋葉原Weeyble,9
大江橋Pythonの会#1,2018-07-22,Scribble Osaka Lab（大阪メトロ御堂筋線「淀屋橋」駅より徒歩４分）,30
(2018/7/22日PM)第66回 オープンCAE勉強会@関西+ビアガーデン,2018-07-22,ダイキン ソリューションプラザ「フーハ大阪」,11
【本日開催】XR女子部Meetup!Vol.3 PyLadies × XR女子部交流会,2018-07-22,株式会社ディー・エヌ・エー,10
PyLadies Tokyo Meetup #34 PyLadies × XR女子部交流会,2018-07-22,株式会社ディー・エヌ・エー,14
大江橋Pythonビギナーズの会#1,2018-07-22,Scribble Osaka Lab（大阪メトロ御堂筋線「淀屋橋」駅より徒歩４分）,14
大和セキュリティ勉強会：Pythonでパケット解析 (7月22日)(日),2018-07-22,神戸デジタル・ラボ,35
第一回 【python】休日開発もくもく会【定員増員しました！！】,2018-07-22,恵比寿ガーデンプレイスタワー27階 coebi,15
機械学習を始めるためのPythonライブラリ基礎（行列計算、データフレーム処理）,2018-07-22,スキルアップビデオテクノロジーズ,7
塩尻MLもくもく会 #06,2018-07-21,市民交流センターえんぱーく 2F 会議室203,6
Python Boot Camp in 茨城 懇親会,2018-07-21,灯禾軒,6
Python東海 第36回勉強会 懇親会,2018-07-21,リリーバンケット 栄伏見店,20
『Pythonによる数理最適化入門』勉強会【#2】,2018-07-21,Akiba Code,12
【学生限定】プログラミング体験でロボットとドローンを動かそう！,2018-07-21,株式会社ベアフォスターホールディングス,1
【初・中級者向け】Python+Janome+gensim で学ぶ自然言語処理入門 #10,2018-07-21,水道橋駅周辺,4
『scikit-learnとTensorFlowによる実践機械学習』勉強会【#2】,2018-07-21,Akiba Code,18
Python東海 第36回勉強会,2018-07-21,名古屋城 本丸御殿 孔雀の間,49
Python Boot Camp in 茨城,2018-07-21,筑波大学 1B208,44
fin-pyもくもく会 #17,2018-07-21,株式会社インタートレード,13
ROHM OPEN HACK CHALLENGE 2018 ハッカソン@東京,2018-07-21,DMM.make AKIBA 12階 ,24
機械学習を始めるためのPythonプログラミング入門,2018-07-21,スキルアップビデオテクノロジーズ,4
『Python言語によるプログラミング・イントロダクション 第2版』読書会 #21,2018-07-21,蕨市民会館（303会議室）,2
夜活Python 入門編 in 池袋,2018-07-20,池袋サンシャインシティ tully's coffee  アルパ店,3
Python入門ハンズオンセミナー-第2回Pythonによるデータ分析演習（札幌校）,2018-07-20,MGTカレッジ札幌校,1
第107回技術者交流会（D-Alley）,2018-07-20,パーティースペース - Sweet lounge,0
はんなりPython #8,2018-07-20,ウィングス京都,17
＠名古屋：AI・機械学習エンジニア/データサイエンティストに必須のPythonツールNumpy,2018-07-20,名古屋国際センタービル第三会議室研修,27
[第9回] Django 2.0 で Webアプリケーション作る会,2018-07-20,アメリエフ株式会社,3
Reinforcement Learning Meetup #10,2018-07-20,株式会社SOU,10
Qiita Career Meetup for Server Side Engineers,2018-07-20,freee株式会社,95
夜活Python 入門編 in 池袋,2018-07-19,池袋サンシャインシティ tully's coffee  アルパ店,2
なんでももくもく会@銀座 #8（入退場自由）,2018-07-19,株式会社ダイヤモンドファンタジー 2Fフリースペース,3
【大阪・梅田】WEB系言語もくもく会,2018-07-19,株式会社スポーツフィールド大阪オフィス,2
朝活Python 簡単スクレイピング（前編） in 秋葉原,2018-07-19,【秋葉原/浅草橋】秋葉原スクエア403号室,6
【サポーターズCoLab勉強会】転職活動の進め方,2018-07-18,渋谷スクエアA 11F,0
【サポーターズCoLab勉強会】みんな大好きPython入門,2018-07-18,渋谷スクエアA 11F,0
【プログラミング初心者向け】2時間で速習！Python文法講座,2018-07-18,サイバーブレイン株式会社,6
機械学習 浜名湖 勉強会 第5エポック目,2018-07-15,南部協同センター(実習室),7
【第二期】開発プロジェクト勉強会,2018-07-15,水道橋駅周辺,0
【Python】【データ分析】「PythonユーザのためのJupyter[実践]入門」読書会,2018-07-15,合同会社ねこもり秋葉原オフィス,8
ROHM OPEN HACK CHALLENGE 2018 ハンズオン@京都,2018-07-15,ローム京都駅前ビル,21
『退屈なことはPythonにやらせよう』読書会 #13,2018-07-15,蕨市民会館（303会議室）,0
機械学習を始めるためのpythonデータ分析実践（機械学習直前）,2018-07-15,スキルアップビデオテクノロジーズ,4
朝活Python 入門編 in 秋葉原,2018-07-15,カフェ・ベローチェ 秋葉原駅前広場店,0
Pythonもくもく自習室一周年記念懇親会,2018-07-14,ビストロ チック 麻布店 ,5
【大阪】本当は誰にも教えたくない！？ 実践 Golang勉強会 （7月開催）,2018-07-14,株式会社PE-BANK　関西支店,20
GAE (Go/Python) もくもく勉強会 in 横浜タネマキ vol.55,2018-07-14,タネマキ,3
Python3ではじめるシステムトレード入門　第15回連続セミナー　初心者大歓迎　午後の部,2018-07-14,金融財務研究会セミナールーム,1
朝霞IT勉強会#5　モブプロやってみるよ！！,2018-07-14,朝霞市　弁財市民センター,6
第6回 Python勉強会@仙台,2018-07-14,株式会社エスクルー,7
ROHM OPEN HACK CHALLENGE 2018 ハンズオン@新横浜,2018-07-14,ローム新横浜駅前ビル,14
【祝一周年】【増枠】Pythonもくもく自習室 #12 @ Rettyオフィス,2018-07-14,Retty株式会社 麻布十番オフィス,23
『Python言語によるプログラミング・イントロダクション 第2版』読書会 #20,2018-07-14,蕨市民会館（304会議室）,2
Python3ではじめるシステムトレード入門　第15回連続セミナー　初心者大歓迎　午前の部,2018-07-14,金融財務研究会セミナールーム,1
機械学習を始めるためのpythonライブラリ基礎（データ可視化）,2018-07-14,スキルアップビデオテクノロジーズ,9
朝活Python 入門編 in 秋葉原,2018-07-14,カフェ・ベローチェ 秋葉原駅前広場店,3
夜活Python 基礎編 in 池袋,2018-07-13,池袋サンシャインシティ tully's coffee  アルパ店,1
【サポーターズCoLab主催】新規事業開発におけるエンジニアの心得,2018-07-13,渋谷スクエアA 11F,0
【サポーターズCoLab勉強会】機械学習モデルをサービス導入しよう！,2018-07-13,渋谷スクエアA 11F,0
【平日夜】メイドさんがいる定時後のIT自習室 2018/07/13,2018-07-13,合同会社ねこもり秋葉原オフィス,9
なんでももくもく会@銀座 #7（入退場自由）,2018-07-12,株式会社ダイヤモンドファンタジー 2Fフリースペース,2
未経験者OK！NeuralNetworkConsoleではじめるディープラーニングハンズオンセミナー,2018-07-12,株式会社データフォーシーズ　5Fセミナールーム,12
帰り道もくもく会＋ＩＴエンジニアとお話し会　#1,2018-07-12,きゅりあん （品川区立総合区民会館）４F　第２グループ活動室,8
#1 SnapDish もくもく会/Mokumokukaiからのビアバッシュ/Beer bash,2018-07-12,Vuzz Inc.,6
[無料]フリーランスもくもく会(IT、翻訳など)無職歓迎!!@橋本,2018-07-12,アリオ橋本１Ｆフードコート,3
朝活Python 入門編 in 秋葉原,2018-07-12,カフェ・ベローチェ 秋葉原駅前広場店,1
【全4回】【初・中級者向け】理論から実践まで行う機械学習入門 #1,2018-07-11,水道橋駅周辺(三崎町交差点付近),7
"【サポーターズ勉強会】スタートアップの""Just Enough""な技術選択/アーキテクチャとは？",2018-07-11,渋谷スクエアA 11F,0
【サポーターズCoLab勉強会】Asset Bundleちょっとだけ理解した,2018-07-11,渋谷スクエアA 11F,0
[第8回] Django 2.0 で Webアプリケーション作る会,2018-07-11,アメリエフ株式会社,3
Python ボルダリング部 #116,2018-07-11,Base Camp Tokyo,8
みんなのPython勉強会#37,2018-07-11,クリーク・アンド・リバー社,142
ゼロからまなぶ統計学：　オープンセミナー,2018-07-11,金融財務研究会セミナールーム,14
【大阪・梅田】WEB系言語もくもく会,2018-07-11,株式会社スポーツフィールド大阪オフィス,1
Pythonアルゴリズム勉強会,2018-07-11,株式会社Smart Trade,6
朝活Python 簡単スクレイピング編 in 秋葉原,2018-07-11,【秋葉原/浅草橋】秋葉原スクエア403号室,4
[秋葉原] PythonとKerasによるディープラーニング勉強会 「7章 最先端のモデル」,2018-07-10,コワーキングスペース秋葉原 Weeyble（ウィーブル),6
【サポーターズCoLab勉強会】Rを使った統計入門,2018-07-10,渋谷スクエアA 11F,0
【サーバレス特集】WEB+DB PRESS Vol.105をみんなで読む会 #1,2018-07-10,フロイデ株式会社,7
広島Web系の会　もくもく会＆技術談義 Re: #6,2018-07-10,ソアラビジネスポート4階 セミナールーム,5
プログラミング勉強部屋　7月10日（ほぼ毎週開催）,2018-07-10,Co-CreationLABO,8
朝活Python 入り口編 in 秋葉原,2018-07-10,【秋葉原/浅草橋】秋葉原スクエア403号室,2
【サポーターズCoLab勉強会】実例に学ぶ！システム運用業務の Day1,2018-07-09,渋谷スクエアA 11F,0
【サポーターズCoLab勉強会】入門Kubernetes,2018-07-09,渋谷スクエアA 11F,0
ちがさき de 初心者向けPython,2018-07-09,FG-Space,7
Pythonのもくもく会とボランティア　#6,2018-07-09,あいちベンチャーハウス,2
【食事＆景品付き】エンジニアの為の合コン（エジコン）,2018-07-08,ノートルスタジオ,15
【増員】Python札幌　Django 勉強会,2018-07-08,株式会社インサイトテクノロジー 札幌開発センター,23
【初心者向け】【全4回】Python+Jupyterで学ぶ実践プログラミング #1,2018-07-08,水道橋付近,1
『退屈なことはPythonにやらせよう』読書会 #12,2018-07-08,蕨市民会館（304会議室）,0
機械学習を始めるためのPythonライブラリ基礎（行列計算、データフレーム処理）,2018-07-08,スキルアップビデオテクノロジーズ,12
機械学習 決定木・ランダムフォレスト ～プログラムなしではじめる入門講座～,2018-07-07,WakaLabo新宿,1
中止！！第9回 CoderDojo 福岡,2018-07-07,赤煉瓦文化館,1
テスト駆動開発体験会 #4 (PHP),2018-07-07,ソーホーかごしま C 会議室,6
【初・中級者向け】TensorFlowを動かしながら学ぶディープラーニング・CNNの理論  #13,2018-07-07,水道橋駅周辺(三崎町交差点付近),3
第42回【フリースタイル】PORTもくもく会【学生歓迎！】,2018-07-07,ポート株式会社(住友不動産新宿グランドタワー12F),44
【初心者向け】理系分野の集中パワーアップのための1ヶ月,2018-07-07,水道橋駅周辺,6
機械学習を始めるためのPythonプログラミング入門,2018-07-07,スキルアップビデオテクノロジーズ,15
