id,user_name,subject,start_at,end_at
37,Carol,理科,2021-12-17 08:20:07.530049+09:00,2021-12-17 11:06:21.324633+09:00
38,Bob,情報,2021-12-17 09:39:10.327194+09:00,2021-12-17 11:33:50.939347+09:00
39,Carol,英語,2021-12-18 01:21:04.533664+09:00,2021-12-18 02:51:20.138604+09:00
40,Bob,社会,2021-12-18 08:35:03.186050+09:00,2021-12-18 11:01:15.381575+09:00
41,Bob,情報,2021-12-18 21:52:06.281507+09:00,2021-12-18 23:13:23.613807+09:00
42,Alice,理科,2021-12-19 03:03:50.730610+09:00,2021-12-19 04:04:35.199321+09:00
43,Carol,社会,2021-12-19 13:43:58.852761+09:00,2021-12-19 15:35:02.767497+09:00
44,Carol,数学,2021-12-19 23:16:25.464300+09:00,2021-12-20 01:57:33.452852+09:00
45,Carol,数学,2021-12-20 07:39:26.348940+09:00,2021-12-20 08:38:10.154258+09:00
46,Bob,数学,2021-12-21 03:44:59.706364+09:00,2021-12-21 04:13:21.392240+09:00
47,Carol,情報,2021-12-21 04:51:07.146957+09:00,2021-12-21 07:35:03.826367+09:00
48,Dave,英語,2021-12-21 13:47:11.631215+09:00,2021-12-21 15:16:41.683939+09:00
49,Alice,社会,2021-12-21 23:19:16.275508+09:00,2021-12-22 01:24:33.413964+09:00
50,Carol,数学,2021-12-22 13:42:18.353812+09:00,2021-12-22 15:12:24.767784+09:00
51,Bob,理科,2021-12-23 03:54:49.196739+09:00,2021-12-23 06:15:45.422783+09:00
52,Bob,理科,2021-12-23 12:54:44.485737+09:00,2021-12-23 15:28:06.924913+09:00
53,Alice,社会,2021-12-23 21:45:34.578141+09:00,2021-12-23 23:14:23.919566+09:00
54,Alice,社会,2021-12-24 04:26:36.623850+09:00,2021-12-24 06:17:58.603763+09:00
55,Alice,情報,2021-12-24 10:25:19.711331+09:00,2021-12-24 11:15:35.989614+09:00
56,Bob,理科,2021-12-25 05:09:20.815952+09:00,2021-12-25 05:55:40.536349+09:00
57,Dave,情報,2021-12-25 09:07:07.962697+09:00,2021-12-25 09:35:52.362146+09:00
58,Alice,数学,2021-12-25 16:39:55.454647+09:00,2021-12-25 17:11:10.237115+09:00
59,Dave,社会,2021-12-26 07:23:48.707482+09:00,2021-12-26 08:58:35.412248+09:00
60,Dave,数学,2021-12-26 12:26:00.878590+09:00,2021-12-26 14:28:17.493930+09:00
61,Dave,社会,2021-12-27 04:26:01.654859+09:00,2021-12-27 07:20:54.528475+09:00
62,Dave,英語,2021-12-27 10:48:30.955329+09:00,2021-12-27 13:09:21.545193+09:00
63,Bob,理科,2021-12-27 21:49:43.567852+09:00,2021-12-27 22:58:44.997823+09:00
64,Bob,社会,2021-12-28 03:58:01.172253+09:00,2021-12-28 06:37:30.175577+09:00
65,Carol,数学,2021-12-28 20:41:53.347873+09:00,2021-12-28 22:10:06.911334+09:00
66,Bob,英語,2021-12-29 01:40:31.372618+09:00,2021-12-29 03:24:14.382019+09:00
67,Alice,情報,2021-12-29 18:08:44.742874+09:00,2021-12-29 20:49:15.526535+09:00
68,Dave,理科,2021-12-29 22:33:37.591819+09:00,2021-12-30 00:55:54.625204+09:00
69,Carol,情報,2021-12-30 06:38:48.479568+09:00,2021-12-30 07:41:59.473596+09:00
70,Alice,英語,2021-12-31 00:29:36.697104+09:00,2021-12-31 02:58:47.723883+09:00
71,Dave,理科,2021-12-31 08:03:47.730132+09:00,2021-12-31 10:36:47.128600+09:00
72,Alice,社会,2021-12-31 18:54:39.573173+09:00,2021-12-31 19:29:04.555475+09:00
73,Alice,数学,2022-01-01 04:12:13.612858+09:00,2022-01-01 05:24:15.505991+09:00
74,Carol,英語,2022-01-01 16:18:56.547744+09:00,2022-01-01 17:56:19.630339+09:00
75,Carol,情報,2022-01-01 18:26:32.918803+09:00,2022-01-01 19:58:09.801115+09:00
76,Bob,数学,2022-01-02 11:44:55.523346+09:00,2022-01-02 13:22:25.139466+09:00
77,Alice,英語,2022-01-02 16:37:37.176968+09:00,2022-01-02 18:15:35.656408+09:00
78,Bob,数学,2022-01-02 23:59:05.263190+09:00,2022-01-03 00:57:22.263085+09:00
79,Carol,理科,2022-01-03 16:50:50.681643+09:00,2022-01-03 19:39:03.799122+09:00
80,Bob,理科,2022-01-04 02:20:37.759081+09:00,2022-01-04 03:38:39.397737+09:00
81,Dave,社会,2022-01-04 13:11:39.130147+09:00,2022-01-04 14:40:12.646555+09:00
82,Bob,数学,2022-01-04 19:27:53.149988+09:00,2022-01-04 20:38:54.997479+09:00
83,Dave,情報,2022-01-05 07:57:53.201920+09:00,2022-01-05 08:32:47.131981+09:00
84,Bob,数学,2022-01-05 18:18:16.630665+09:00,2022-01-05 19:54:21.766581+09:00
85,Bob,数学,2022-01-05 22:05:42.528651+09:00,2022-01-06 00:14:27.464651+09:00
86,Carol,理科,2022-01-06 08:35:56.239965+09:00,2022-01-06 11:15:24.104630+09:00
87,Bob,理科,2022-01-06 23:05:12.979454+09:00,2022-01-07 01:50:55.100970+09:00
88,Dave,情報,2022-01-07 01:18:25.103623+09:00,2022-01-07 04:11:51.339039+09:00
89,Dave,情報,2022-01-07 15:23:47.475445+09:00,2022-01-07 17:09:15.355188+09:00
90,Bob,数学,2022-01-08 02:22:58.688399+09:00,2022-01-08 04:08:32.814908+09:00
91,Bob,数学,2022-01-08 09:06:48.429760+09:00,2022-01-08 10:17:49.515382+09:00
92,Dave,情報,2022-01-08 21:42:07.617675+09:00,2022-01-08 22:03:36.642087+09:00
93,Alice,英語,2022-01-09 09:26:00.412376+09:00,2022-01-09 12:21:12.173415+09:00
94,Bob,英語,2022-01-09 17:28:52.621424+09:00,2022-01-09 18:29:30.293289+09:00
95,Alice,情報,2022-01-09 20:02:07.558719+09:00,2022-01-09 21:07:18.611533+09:00
96,Dave,数学,2022-01-10 09:30:44.851389+09:00,2022-01-10 10:03:26.277815+09:00
97,Carol,理科,2022-01-10 15:58:29.332317+09:00,2022-01-10 18:29:35.595186+09:00
98,Carol,社会,2022-01-11 09:04:10.734754+09:00,2022-01-11 09:49:23.781823+09:00
99,Alice,情報,2022-01-11 13:31:26.216221+09:00,2022-01-11 15:58:56.289697+09:00
100,Bob,社会,2022-01-12 08:36:03.297084+09:00,2022-01-12 11:17:50.391866+09:00
101,Dave,社会,2022-01-12 08:12:07.603753+09:00,2022-01-12 08:49:21.768329+09:00
102,Bob,英語,2022-01-12 22:52:48.388662+09:00,2022-01-13 00:19:21.524848+09:00
103,Dave,数学,2022-01-13 14:01:29.970646+09:00,2022-01-13 14:21:42.671226+09:00
104,Bob,社会,2022-01-13 18:35:54.193653+09:00,2022-01-13 21:13:52.358658+09:00
105,Alice,理科,2022-01-14 02:21:38.217836+09:00,2022-01-14 04:24:00.470722+09:00
106,Dave,理科,2022-01-14 17:09:25.118157+09:00,2022-01-14 18:17:23.821248+09:00
107,Bob,数学,2022-01-14 22:13:22.407204+09:00,2022-01-15 00:23:57.524209+09:00
108,Alice,数学,2022-01-15 06:43:21.735657+09:00,2022-01-15 07:10:22.772213+09:00
109,Bob,情報,2022-01-15 17:50:05.896811+09:00,2022-01-15 19:35:52.393427+09:00
110,Alice,社会,2022-01-16 07:47:51.999810+09:00,2022-01-16 09:30:23.419173+09:00
111,Bob,英語,2022-01-16 17:27:54.606916+09:00,2022-01-16 17:52:58.993027+09:00
112,Alice,英語,2022-01-17 04:33:33.447125+09:00,2022-01-17 05:42:43.530076+09:00
113,Bob,理科,2022-01-17 12:43:08.356042+09:00,2022-01-17 13:32:53.145810+09:00
114,Bob,情報,2022-01-17 15:52:37.908983+09:00,2022-01-17 18:01:45.841288+09:00
115,Dave,情報,2022-01-18 12:56:55.549533+09:00,2022-01-18 13:48:25.213716+09:00
116,Bob,英語,2022-01-18 15:27:31.581076+09:00,2022-01-18 16:05:36.685375+09:00
117,Carol,数学,2022-01-19 01:49:54.475862+09:00,2022-01-19 04:37:48.358951+09:00
118,Dave,社会,2022-01-19 11:35:32.160305+09:00,2022-01-19 13:46:45.846771+09:00
119,Carol,英語,2022-01-19 23:28:16.505984+09:00,2022-01-20 00:12:31.569763+09:00
120,Alice,社会,2022-01-20 07:33:38.553820+09:00,2022-01-20 09:08:43.938263+09:00
121,Bob,情報,2022-01-20 12:40:35.566801+09:00,2022-01-20 13:49:07.340477+09:00
122,Dave,英語,2022-01-21 00:39:25.911133+09:00,2022-01-21 03:19:50.265981+09:00
123,Alice,理科,2022-01-21 12:02:48.670538+09:00,2022-01-21 13:45:21.804395+09:00
124,Alice,情報,2022-01-22 04:14:39.790840+09:00,2022-01-22 05:47:57.601598+09:00
125,Carol,社会,2022-01-22 09:00:17.252175+09:00,2022-01-22 09:25:17.734350+09:00
126,Dave,社会,2022-01-22 23:54:52.244966+09:00,2022-01-23 00:28:41.372612+09:00
127,Dave,英語,2022-01-23 02:00:23.220350+09:00,2022-01-23 03:12:04.613075+09:00
128,Alice,情報,2022-01-23 15:40:12.765434+09:00,2022-01-23 16:32:31.523828+09:00
129,Dave,情報,2022-01-23 19:29:54.704650+09:00,2022-01-23 22:15:47.955227+09:00
130,Alice,英語,2022-01-24 13:59:27.776188+09:00,2022-01-24 16:36:34.415190+09:00
131,Dave,英語,2022-01-24 18:38:37.482944+09:00,2022-01-24 20:31:26.118914+09:00
132,Bob,理科,2022-01-25 08:41:14.841129+09:00,2022-01-25 11:21:31.115638+09:00
133,Carol,社会,2022-01-25 20:25:24.596148+09:00,2022-01-25 20:48:02.401771+09:00
134,Alice,英語,2022-01-26 02:45:46.419447+09:00,2022-01-26 05:40:53.169886+09:00
135,Dave,英語,2022-01-26 12:29:59.697310+09:00,2022-01-26 15:15:14.926232+09:00
136,Bob,数学,2022-01-27 03:03:36.361291+09:00,2022-01-27 05:14:06.411679+09:00
137,Bob,社会,2022-01-27 08:17:21.121560+09:00,2022-01-27 10:00:28.841763+09:00
138,Bob,情報,2022-01-27 20:04:16.574821+09:00,2022-01-27 21:58:06.504184+09:00
139,Dave,英語,2022-01-28 07:48:13.558111+09:00,2022-01-28 08:56:05.342783+09:00
140,Dave,英語,2022-01-28 17:01:30.896038+09:00,2022-01-28 18:18:40.302691+09:00
141,Bob,数学,2022-01-28 21:33:46.687836+09:00,2022-01-28 22:42:25.645712+09:00
142,Bob,数学,2022-01-29 12:09:11.114690+09:00,2022-01-29 14:50:14.134079+09:00
143,Bob,社会,2022-01-29 15:34:52.692424+09:00,2022-01-29 16:32:22.838880+09:00
144,Alice,数学,2022-01-30 11:30:51.281316+09:00,2022-01-30 11:55:03.915218+09:00
145,Alice,数学,2022-01-30 13:30:36.071372+09:00,2022-01-30 13:55:45.799818+09:00
146,Alice,理科,2022-01-30 14:20:17.776030+09:00,2022-01-30 16:51:29.587649+09:00
147,Alice,英語,2022-01-31 06:12:05.683368+09:00,2021-01-31 07:01:44.368948+09:00
148,Alice,社会,2022-01-31 20:12:40.352115+09:00,2021-01-31 21:58:12.285765+09:00
